ticket_id,account_id,submitted_at,closed_at,resolution_time_hours,priority,first_response_time_minutes,satisfaction_score,escalation_flag
T-640bda,A-96bbc6,2023-01-07,2023-01-08 04:00:00,28.0,medium,112,3.0,False
T-8e435c,A-e1b9cd,2023-06-16,2023-06-17 11:00:00,35.0,high,115,3.0,False
T-32b901,A-67be94,2024-11-14,2024-11-16 01:00:00,49.0,high,1,,False
T-867910,A-3793ee,2024-06-14,2024-06-16 22:00:00,70.0,high,11,4.0,False
T-316da7,A-1ac5e0,2024-01-15,2024-01-16 11:00:00,35.0,high,44,4.0,False
T-3517a8,A-702032,2023-07-28,2023-07-30 04:00:00,52.0,medium,43,,False
T-86c6c6,A-8adedc,2023-08-05,2023-08-07 11:00:00,59.0,high,22,4.0,False
T-565965,A-3b5cd1,2023-01-11,2023-01-12 17:00:00,41.0,urgent,42,4.0,False
T-096b66,A-313be3,2023-06-27,2023-06-27 06:00:00,6.0,urgent,69,,False
T-d90ef7,A-e2cd1b,2023-08-17,2023-08-19 19:00:00,67.0,medium,101,4.0,False
T-495585,A-acb7f7,2024-01-27,2024-01-27 23:00:00,23.0,medium,31,3.0,False
T-502019,A-4e631b,2024-09-23,2024-09-23 20:00:00,20.0,low,18,4.0,False
T-b6d93a,A-50bb9f,2023-02-24,2023-02-25 10:00:00,34.0,low,35,,False
T-d5352f,A-c1e51e,2023-01-23,2023-01-25 05:00:00,53.0,high,148,3.0,False
T-5f94dd,A-d82ef9,2024-12-31,2024-12-31 13:00:00,13.0,high,149,4.0,False
T-d0ff21,A-378b99,2023-07-11,2023-07-12 10:00:00,34.0,medium,40,5.0,False
T-1d7cfb,A-05d3b3,2024-08-11,2024-08-11 15:00:00,15.0,urgent,44,5.0,False
T-759c6f,A-fb186e,2023-01-11,2023-01-12 19:00:00,43.0,medium,132,3.0,False
T-0c378b,A-f03140,2023-12-04,2023-12-05 17:00:00,41.0,low,169,,False
T-bde8aa,A-781cc0,2024-08-01,2024-08-02 07:00:00,31.0,high,133,,False
T-bf01b8,A-59f724,2024-06-21,2024-06-21 19:00:00,19.0,urgent,30,4.0,False
T-926f27,A-34d880,2024-10-05,2024-10-07 16:00:00,64.0,low,127,3.0,False
T-952a1a,A-9bfc9f,2023-06-04,2023-06-06 15:00:00,63.0,high,168,4.0,True
T-361edc,A-eb7fac,2023-03-18,2023-03-18 23:00:00,23.0,low,112,,False
T-2d4793,A-ce550d,2024-02-12,2024-02-12 03:00:00,3.0,urgent,88,,False
T-9bfb24,A-ad64c6,2024-07-02,2024-07-04 20:00:00,68.0,high,2,5.0,False
T-abcd41,A-6da850,2024-11-01,2024-11-02 12:00:00,36.0,medium,44,,False
T-5b0ebb,A-cea1f0,2023-03-22,2023-03-23 05:00:00,29.0,high,17,,False
T-2e5c7e,A-ff79f2,2024-09-04,2024-09-06 15:00:00,63.0,low,136,,False
T-ac4493,A-66224b,2023-08-12,2023-08-14 05:00:00,53.0,medium,172,4.0,False
T-6f11a3,A-a1b80b,2023-05-13,2023-05-15 10:00:00,58.0,urgent,18,,False
T-88949f,A-68f37c,2024-10-26,2024-10-27 19:00:00,43.0,low,173,,False
T-d612f3,A-bb1486,2024-05-19,2024-05-19 18:00:00,18.0,low,1,3.0,False
T-c127ef,A-149a69,2024-10-01,2024-10-02 01:00:00,25.0,high,170,4.0,False
T-6858fa,A-034368,2024-05-04,2024-05-05 00:00:00,24.0,medium,51,,False
T-6db7d8,A-e888d1,2023-12-06,2023-12-07 02:00:00,26.0,urgent,68,3.0,False
T-ad4ec7,A-560d27,2024-02-28,2024-02-28 12:00:00,12.0,low,62,3.0,False
T-a51205,A-cd458b,2023-07-04,2023-07-05 18:00:00,42.0,urgent,76,3.0,False
T-4dd126,A-af0cd2,2024-06-27,2024-06-28 12:00:00,36.0,medium,123,,False
T-6750a4,A-a33200,2024-03-14,2024-03-15 13:00:00,37.0,low,101,,False
T-33d113,A-7e0a10,2024-08-11,2024-08-12 09:00:00,33.0,high,30,,False
T-58506b,A-158f4e,2023-12-14,2023-12-14 13:00:00,13.0,urgent,124,4.0,False
T-753ba1,A-4bfa33,2023-12-08,2023-12-08 19:00:00,19.0,high,29,,False
T-59d67b,A-86902e,2024-03-21,2024-03-23 00:00:00,48.0,urgent,17,3.0,False
T-6ec2a9,A-9208f0,2023-06-21,2023-06-23 22:00:00,70.0,low,3,,False
T-b1d1d0,A-bcf664,2023-08-13,2023-08-14 01:00:00,25.0,urgent,128,3.0,False
T-130a82,A-cb5333,2023-08-22,2023-08-23 01:00:00,25.0,low,35,3.0,False
T-66d999,A-b44e3e,2023-06-26,2023-06-27 15:00:00,39.0,urgent,41,5.0,False
T-037337,A-378b99,2024-07-11,2024-07-11 16:00:00,16.0,low,1,,False
T-342b36,A-cc102e,2024-10-17,2024-10-19 13:00:00,61.0,low,177,5.0,False
T-223760,A-2edab2,2023-04-01,2023-04-03 11:00:00,59.0,low,124,,False
T-9eb2b5,A-dcc3f1,2024-01-16,2024-01-17 06:00:00,30.0,urgent,144,5.0,False
T-f3e7c5,A-756192,2023-01-23,2023-01-23 17:00:00,17.0,urgent,119,5.0,False
T-116af1,A-dcc2f0,2024-05-08,2024-05-10 04:00:00,52.0,urgent,93,,False
T-29279c,A-812c5b,2023-02-20,2023-02-21 19:00:00,43.0,urgent,127,4.0,False
T-b0acc7,A-1f559b,2023-08-27,2023-08-29 00:00:00,48.0,medium,126,4.0,False
T-d32d8c,A-c1e51e,2023-01-04,2023-01-05 01:00:00,25.0,urgent,55,4.0,False
T-cb9d4b,A-fd7ad3,2023-07-06,2023-07-07 14:00:00,38.0,medium,144,4.0,False
T-475284,A-d27f50,2024-04-13,2024-04-13 15:00:00,15.0,low,99,3.0,False
T-411989,A-2446e3,2024-10-27,2024-10-27 08:00:00,8.0,medium,148,4.0,False
T-863bcf,A-bece89,2024-05-28,2024-05-29 02:00:00,26.0,medium,163,4.0,True
T-866ebe,A-b07b56,2023-06-05,2023-06-06 03:00:00,27.0,urgent,115,,False
T-e0c9bf,A-6da850,2023-01-10,2023-01-12 21:00:00,69.0,medium,26,,False
T-458e24,A-f25509,2024-03-27,2024-03-27 20:00:00,20.0,medium,147,4.0,False
T-c8be02,A-378b99,2023-11-03,2023-11-05 01:00:00,49.0,medium,115,5.0,False
T-7f088c,A-4e44e8,2023-06-21,2023-06-23 23:00:00,71.0,low,175,4.0,False
T-4a0f02,A-186a44,2023-01-21,2023-01-23 03:00:00,51.0,urgent,61,,False
T-f3f1b8,A-dbc825,2024-04-11,2024-04-13 22:00:00,70.0,low,122,,False
T-79b057,A-31ab9a,2023-01-22,2023-01-23 03:00:00,27.0,low,66,4.0,False
T-11534a,A-524364,2023-03-21,2023-03-23 17:00:00,65.0,low,110,5.0,False
T-c0d8b2,A-8b0451,2024-12-01,2024-12-03 01:00:00,49.0,urgent,23,3.0,False
T-ad6a24,A-7e0a10,2024-12-18,2024-12-19 22:00:00,46.0,urgent,43,,False
T-cbc17d,A-7c5768,2024-09-30,2024-09-30 19:00:00,19.0,medium,62,,False
T-1d4920,A-b7b7b7,2024-05-11,2024-05-11 09:00:00,9.0,low,101,,False
T-ef0a78,A-ad296b,2024-09-09,2024-09-10 14:00:00,38.0,medium,81,3.0,False
T-b369df,A-c7e58b,2024-08-13,2024-08-13 16:00:00,16.0,low,125,3.0,False
T-29e9b8,A-4a267b,2023-05-17,2023-05-17 07:00:00,7.0,low,166,5.0,False
T-96702f,A-9077b0,2023-09-14,2023-09-16 20:00:00,68.0,high,176,5.0,False
T-9df3b0,A-eb2fdc,2023-01-23,2023-01-25 07:00:00,55.0,low,42,4.0,False
T-a39933,A-ed510f,2023-01-31,2023-02-01 20:00:00,44.0,urgent,129,5.0,False
T-7febc0,A-779e4e,2023-01-27,2023-01-28 09:00:00,33.0,urgent,79,3.0,False
T-84717f,A-f19409,2024-11-12,2024-11-12 01:00:00,1.0,urgent,90,4.0,False
T-135f77,A-cd458b,2024-12-02,2024-12-04 05:00:00,53.0,medium,146,5.0,False
T-41014e,A-a0ca4e,2024-12-02,2024-12-04 13:00:00,61.0,high,40,,False
T-5c0331,A-940b8b,2024-10-25,2024-10-26 23:00:00,47.0,high,47,,False
T-3ec096,A-f97b9a,2023-06-18,2023-06-20 11:00:00,59.0,high,32,3.0,False
T-251fda,A-856b1e,2024-09-15,2024-09-15 01:00:00,1.0,low,123,,False
T-8d3d46,A-30b4ca,2024-09-02,2024-09-04 16:00:00,64.0,medium,131,,False
T-051e5b,A-e08cd3,2023-09-20,2023-09-20 11:00:00,11.0,urgent,59,5.0,False
T-429ce6,A-c45b23,2024-05-30,2024-05-30 07:00:00,7.0,high,55,3.0,False
T-3367b8,A-ba6516,2023-07-17,2023-07-19 18:00:00,66.0,low,14,,False
T-1e3043,A-b78bf8,2024-02-19,2024-02-19 02:00:00,2.0,urgent,89,5.0,False
T-c0ce04,A-94f8c9,2024-08-30,2024-09-01 03:00:00,51.0,urgent,29,,False
T-864e85,A-9bfc9f,2024-03-01,2024-03-03 10:00:00,58.0,low,72,3.0,False
T-2b1a0a,A-89ee83,2024-10-05,2024-10-05 13:00:00,13.0,medium,35,4.0,True
T-5c9e4d,A-c7e58b,2024-12-16,2024-12-18 07:00:00,55.0,urgent,104,,False
T-af95b8,A-58b9ff,2023-11-30,2023-12-02 17:00:00,65.0,low,120,4.0,False
T-471c3e,A-3ce5b8,2024-08-15,2024-08-16 17:00:00,41.0,high,89,4.0,False
T-862ab3,A-31ab9a,2024-06-16,2024-06-18 11:00:00,59.0,medium,85,3.0,False
T-7b0fe1,A-716841,2023-04-03,2023-04-04 16:00:00,40.0,low,176,,False
T-ac5eaa,A-55f257,2023-05-22,2023-05-23 12:00:00,36.0,urgent,144,5.0,False
T-f27d8b,A-7920cc,2023-09-30,2023-10-01 23:00:00,47.0,urgent,113,,False
T-60706c,A-2922b6,2024-10-02,2024-10-03 03:00:00,27.0,urgent,136,,False
T-3a3aa1,A-3b5cd1,2023-10-21,2023-10-21 09:00:00,9.0,low,24,4.0,False
T-e74b9f,A-94d3da,2024-06-10,2024-06-11 12:00:00,36.0,low,98,3.0,False
T-dfad13,A-5b1bcd,2024-12-17,2024-12-17 05:00:00,5.0,urgent,143,5.0,False
T-60c481,A-5247b3,2024-07-29,2024-07-31 09:00:00,57.0,urgent,131,4.0,False
T-772cfe,A-e51ec7,2024-10-05,2024-10-06 21:00:00,45.0,high,87,5.0,False
T-187648,A-592832,2024-10-27,2024-10-28 17:00:00,41.0,medium,51,,False
T-48f8ab,A-dcc2f0,2023-07-20,2023-07-20 02:00:00,2.0,medium,107,,False
T-35ba6a,A-ab438f,2024-03-03,2024-03-03 04:00:00,4.0,urgent,139,3.0,False
T-5b9038,A-d922bf,2024-07-16,2024-07-16 23:00:00,23.0,high,7,3.0,False
T-690c29,A-c222ab,2024-12-01,2024-12-03 23:00:00,71.0,medium,77,5.0,False
T-3f754a,A-bb3bd4,2024-09-25,2024-09-25 14:00:00,14.0,urgent,36,5.0,False
T-367563,A-e61e98,2024-11-23,2024-11-23 05:00:00,5.0,medium,175,,False
T-0079ed,A-cc98bc,2023-06-13,2023-06-13 03:00:00,3.0,urgent,125,,False
T-69e92c,A-ccabf0,2023-09-27,2023-09-28 22:00:00,46.0,medium,114,3.0,False
T-e3d7af,A-526d93,2024-11-13,2024-11-15 06:00:00,54.0,low,157,,False
T-f708b2,A-bc87bc,2023-10-11,2023-10-11 11:00:00,11.0,low,177,3.0,False
T-b2b3fd,A-7df7a7,2024-03-19,2024-03-20 02:00:00,26.0,high,132,3.0,True
T-1dc468,A-4c6f11,2023-11-29,2023-11-29 20:00:00,20.0,urgent,14,5.0,False
T-b78a44,A-9208f0,2023-09-27,2023-09-28 08:00:00,32.0,medium,103,4.0,False
T-194946,A-65aeb5,2023-08-10,2023-08-11 08:00:00,32.0,low,173,,False
T-cbfee6,A-5247b3,2023-06-11,2023-06-13 04:00:00,52.0,high,173,,False
T-ea7839,A-ba6516,2024-03-17,2024-03-18 00:00:00,24.0,low,58,3.0,False
T-32cb13,A-1986ca,2023-06-14,2023-06-14 15:00:00,15.0,urgent,146,4.0,False
T-88d5fe,A-0b0d6d,2024-01-14,2024-01-15 17:00:00,41.0,urgent,59,,False
T-a80500,A-fce879,2023-01-16,2023-01-17 05:00:00,29.0,medium,74,3.0,False
T-325ab2,A-f03140,2023-09-21,2023-09-22 19:00:00,43.0,medium,71,,False
T-cfae4d,A-fdfc91,2023-01-27,2023-01-28 20:00:00,44.0,urgent,55,4.0,False
T-cc5da4,A-86cdb4,2023-08-07,2023-08-09 14:00:00,62.0,high,33,5.0,False
T-387b29,A-956988,2024-04-20,2024-04-21 20:00:00,44.0,low,83,,False
T-86268f,A-157070,2024-12-04,2024-12-06 12:00:00,60.0,low,176,3.0,False
T-ef99b1,A-eb1312,2023-09-04,2023-09-06 20:00:00,68.0,low,117,5.0,False
T-89ae7a,A-503d5a,2024-01-11,2024-01-14 00:00:00,72.0,high,107,5.0,False
T-7c37e5,A-8b0451,2024-12-10,2024-12-11 23:00:00,47.0,urgent,104,,False
T-bd64bb,A-5a92e7,2023-04-25,2023-04-27 19:00:00,67.0,urgent,172,5.0,False
T-6deaa1,A-5f2961,2023-06-30,2023-07-02 05:00:00,53.0,high,19,,False
T-1c52db,A-8e47ca,2023-01-04,2023-01-05 22:00:00,46.0,medium,90,,False
T-be05b0,A-396e5f,2024-08-15,2024-08-16 05:00:00,29.0,urgent,27,,False
T-ffd35f,A-bb1eaa,2023-10-15,2023-10-17 10:00:00,58.0,urgent,106,,False
T-d15fe8,A-600734,2024-03-15,2024-03-17 19:00:00,67.0,high,88,4.0,False
T-742fdb,A-fdfc91,2024-11-17,2024-11-17 23:00:00,23.0,urgent,120,3.0,False
T-b45de1,A-a7bd4b,2023-07-11,2023-07-11 11:00:00,11.0,high,70,4.0,False
T-0c38ce,A-bbe56f,2024-11-30,2024-12-01 03:00:00,27.0,urgent,79,,False
T-1f01f6,A-4bfa33,2023-12-12,2023-12-12 12:00:00,12.0,urgent,46,4.0,False
T-5b2010,A-038089,2024-04-18,2024-04-18 14:00:00,14.0,medium,149,3.0,False
T-2a5b2f,A-f92792,2024-07-03,2024-07-05 22:00:00,70.0,low,80,4.0,False
T-a7ce4a,A-034368,2023-07-01,2023-07-01 19:00:00,19.0,high,124,,False
T-d6c9b1,A-a6d261,2024-02-09,2024-02-09 01:00:00,1.0,high,32,5.0,False
T-8206e8,A-e43bf7,2024-06-17,2024-06-18 14:00:00,38.0,low,86,,False
T-fd832d,A-4ae22a,2023-02-11,2023-02-11 04:00:00,4.0,low,107,,False
T-3c6a06,A-c62e55,2024-02-03,2024-02-03 21:00:00,21.0,urgent,132,4.0,False
T-bdc427,A-56962b,2023-01-23,2023-01-25 18:00:00,66.0,high,79,,False
T-d4a251,A-751bd4,2023-01-10,2023-01-10 15:00:00,15.0,urgent,127,3.0,False
T-d57ae7,A-bf7919,2023-06-11,2023-06-11 17:00:00,17.0,low,110,5.0,False
T-8a7eca,A-fa3095,2023-10-24,2023-10-26 20:00:00,68.0,urgent,132,5.0,False
T-5df251,A-b179bf,2023-10-06,2023-10-08 04:00:00,52.0,high,139,,False
T-967ccc,A-acb7f7,2023-12-28,2023-12-30 02:00:00,50.0,urgent,144,4.0,False
T-5bd570,A-dcc3f1,2023-06-10,2023-06-12 11:00:00,59.0,low,95,,False
T-9b7b66,A-13466a,2023-06-24,2023-06-24 21:00:00,21.0,high,77,5.0,False
T-4b2c43,A-c4ea60,2024-04-07,2024-04-08 23:00:00,47.0,medium,83,3.0,False
T-eeae26,A-0f3e88,2023-11-24,2023-11-26 12:00:00,60.0,low,104,5.0,False
T-8ec963,A-bc4d48,2023-06-24,2023-06-25 19:00:00,43.0,high,133,3.0,False
T-c8d035,A-bf7919,2024-10-29,2024-10-29 12:00:00,12.0,high,53,,False
T-686725,A-993085,2024-03-23,2024-03-25 02:00:00,50.0,medium,78,,False
T-926c1c,A-eb7c38,2024-05-13,2024-05-14 12:00:00,36.0,medium,119,5.0,False
T-fcd24e,A-f1f639,2024-12-05,2024-12-05 22:00:00,22.0,high,27,5.0,False
T-6db04f,A-ed510f,2023-07-06,2023-07-08 12:00:00,60.0,urgent,46,,False
T-f0e463,A-3cc791,2023-12-04,2023-12-06 22:00:00,70.0,low,75,5.0,False
T-d89dd4,A-6dee43,2023-11-07,2023-11-08 17:00:00,41.0,urgent,64,5.0,False
T-ad83da,A-fb186e,2023-10-18,2023-10-18 21:00:00,21.0,urgent,91,,False
T-c8c1c0,A-f446b6,2023-07-28,2023-07-28 14:00:00,14.0,low,25,,False
T-8402a1,A-1e6fc3,2023-04-25,2023-04-25 08:00:00,8.0,low,122,,False
T-d5bbc8,A-05d3b3,2023-08-13,2023-08-13 11:00:00,11.0,medium,19,,False
T-d370a4,A-fd7ad3,2023-12-23,2023-12-25 06:00:00,54.0,urgent,118,5.0,True
T-fd84fa,A-08e34e,2023-03-16,2023-03-17 06:00:00,30.0,medium,170,3.0,False
T-145a95,A-6f50ae,2023-03-01,2023-03-02 10:00:00,34.0,medium,144,5.0,False
T-80284c,A-ce550d,2023-08-24,2023-08-26 02:00:00,50.0,urgent,64,3.0,False
T-0d0582,A-ee42db,2024-02-13,2024-02-15 05:00:00,53.0,medium,5,,False
T-b03205,A-b9eed8,2023-05-29,2023-05-30 23:00:00,47.0,urgent,40,3.0,False
T-935cb7,A-5f7781,2024-08-14,2024-08-16 03:00:00,51.0,high,21,4.0,False
T-89db4e,A-31ab9a,2023-08-31,2023-09-02 15:00:00,63.0,medium,132,,False
T-787a34,A-396e5f,2024-03-06,2024-03-06 12:00:00,12.0,high,147,,False
T-c0b6ed,A-1986ca,2024-07-27,2024-07-29 07:00:00,55.0,urgent,30,3.0,False
T-50b851,A-cea1f0,2023-12-26,2023-12-28 00:00:00,48.0,low,42,4.0,False
T-c98c9f,A-832ec2,2024-02-28,2024-02-28 20:00:00,20.0,medium,68,,False
T-b5f0d3,A-016043,2023-10-02,2023-10-02 20:00:00,20.0,high,28,4.0,False
T-699109,A-ced9aa,2024-05-14,2024-05-15 10:00:00,34.0,urgent,54,,False
T-9bde67,A-524364,2023-09-30,2023-10-02 11:00:00,59.0,high,59,4.0,False
T-fcedc6,A-5a184f,2024-04-13,2024-04-14 13:00:00,37.0,high,33,4.0,False
T-f7d63c,A-65a46c,2024-10-29,2024-10-30 20:00:00,44.0,urgent,4,4.0,False
T-d62751,A-86cdb4,2024-12-02,2024-12-02 01:00:00,1.0,urgent,167,,False
T-22710d,A-1b707d,2024-04-19,2024-04-21 03:00:00,51.0,medium,53,,False
T-8384cf,A-d922bf,2024-01-23,2024-01-23 13:00:00,13.0,low,95,,False
T-05fd42,A-f45426,2024-08-24,2024-08-25 14:00:00,38.0,urgent,38,4.0,False
T-37b102,A-0be015,2023-04-02,2023-04-03 00:00:00,24.0,high,133,4.0,False
T-dc51a8,A-0532a9,2024-11-24,2024-11-25 03:00:00,27.0,low,6,,False
T-76ee80,A-fce879,2024-07-17,2024-07-18 03:00:00,27.0,urgent,49,5.0,False
T-6ea0dd,A-a09355,2024-02-08,2024-02-08 04:00:00,4.0,low,87,4.0,False
T-7fd978,A-22d9d2,2023-12-26,2023-12-26 10:00:00,10.0,urgent,8,,False
T-621fb8,A-7f8241,2024-04-19,2024-04-20 12:00:00,36.0,medium,135,3.0,False
T-adcdc9,A-adc1f3,2023-06-12,2023-06-14 23:00:00,71.0,urgent,25,4.0,False
T-6d98ab,A-ced9aa,2023-12-22,2023-12-23 22:00:00,46.0,high,124,,False
T-1cea26,A-bcf664,2023-12-18,2023-12-20 21:00:00,69.0,high,169,5.0,True
T-c6dcaf,A-32fb14,2023-03-18,2023-03-20 15:00:00,63.0,low,24,,False
T-4bf7c6,A-463db0,2024-08-15,2024-08-15 04:00:00,4.0,low,171,4.0,False
T-7dfa96,A-e888d1,2023-09-12,2023-09-14 16:00:00,64.0,low,98,,False
T-22b4a9,A-3cc791,2024-09-18,2024-09-20 10:00:00,58.0,urgent,48,3.0,False
T-bf0575,A-78f02b,2023-04-10,2023-04-12 11:00:00,59.0,high,125,5.0,False
T-0ca62f,A-e40f45,2023-08-31,2023-09-01 05:00:00,29.0,urgent,114,5.0,False
T-20c0bf,A-2d4502,2023-04-23,2023-04-25 16:00:00,64.0,urgent,30,5.0,False
T-1c2c18,A-ed510f,2024-03-28,2024-03-30 08:00:00,56.0,urgent,122,,False
T-e07558,A-296d7c,2024-04-27,2024-04-27 14:00:00,14.0,urgent,31,3.0,False
T-d6be94,A-30b4ca,2023-05-05,2023-05-07 09:00:00,57.0,medium,125,4.0,False
T-e6c083,A-443b7c,2024-05-16,2024-05-17 18:00:00,42.0,high,81,5.0,False
T-134bb9,A-2bc93d,2024-11-23,2024-11-23 07:00:00,7.0,medium,44,5.0,False
T-118f13,A-19b2c8,2024-09-05,2024-09-06 08:00:00,32.0,high,109,5.0,False
T-956203,A-ccb686,2023-11-06,2023-11-08 19:00:00,67.0,high,30,4.0,False
T-2ae381,A-f3ff05,2023-07-12,2023-07-14 02:00:00,50.0,medium,108,3.0,False
T-897033,A-1b7577,2023-08-07,2023-08-09 15:00:00,63.0,urgent,157,3.0,False
T-f14a3d,A-0be015,2023-04-13,2023-04-13 13:00:00,13.0,urgent,123,,False
T-6bdc37,A-80eeb6,2023-07-23,2023-07-24 17:00:00,41.0,high,89,5.0,False
T-2fee89,A-42e5e1,2024-01-25,2024-01-26 03:00:00,27.0,high,124,4.0,False
T-14ab7d,A-bece89,2023-02-20,2023-02-21 01:00:00,25.0,medium,63,5.0,False
T-c9394b,A-427b69,2024-04-09,2024-04-09 06:00:00,6.0,medium,99,,False
T-7b4c85,A-5a215a,2023-07-26,2023-07-28 16:00:00,64.0,urgent,18,,False
T-ab2c55,A-45ce7a,2023-08-18,2023-08-19 18:00:00,42.0,medium,49,3.0,False
T-11b816,A-9077b0,2024-09-07,2024-09-07 02:00:00,2.0,urgent,180,3.0,False
T-d51f64,A-558c72,2024-08-28,2024-08-30 12:00:00,60.0,low,30,,False
T-675d69,A-19b2c8,2023-02-03,2023-02-04 08:00:00,32.0,medium,132,4.0,False
T-9a1036,A-443b7c,2023-01-24,2023-01-25 07:00:00,31.0,urgent,51,5.0,False
T-ba404b,A-8145a0,2023-01-06,2023-01-06 11:00:00,11.0,low,30,5.0,False
T-9d4edb,A-9174e0,2023-06-09,2023-06-11 05:00:00,53.0,low,173,,False
T-2ca992,A-3f9cc0,2024-08-17,2024-08-18 20:00:00,44.0,high,28,,False
T-d9cb01,A-0baac2,2024-03-23,2024-03-25 10:00:00,58.0,urgent,104,,False
T-3fd10a,A-bcbe98,2024-05-14,2024-05-15 15:00:00,39.0,high,29,,False
T-df66b4,A-425e76,2023-10-05,2023-10-08 00:00:00,72.0,high,160,3.0,False
T-16968a,A-e89151,2024-10-10,2024-10-11 05:00:00,29.0,medium,54,,False
T-a65a71,A-e89151,2024-04-01,2024-04-03 06:00:00,54.0,medium,43,5.0,False
T-c28542,A-d49cc5,2024-07-18,2024-07-20 04:00:00,52.0,medium,32,4.0,False
T-f3737d,A-1986ca,2023-05-01,2023-05-01 09:00:00,9.0,low,100,4.0,False
T-fb84f7,A-ce550d,2024-10-25,2024-10-27 21:00:00,69.0,medium,90,5.0,False
T-4db8d5,A-40a557,2024-11-24,2024-11-26 03:00:00,51.0,urgent,119,5.0,False
T-9fc75b,A-4c6f11,2023-12-06,2023-12-08 06:00:00,54.0,high,173,5.0,False
T-274882,A-3b37d9,2023-01-03,2023-01-04 08:00:00,32.0,medium,89,5.0,False
T-8444c1,A-69fad4,2023-09-16,2023-09-18 23:00:00,71.0,medium,114,4.0,False
T-d82bc4,A-157070,2023-08-25,2023-08-26 01:00:00,25.0,urgent,152,,True
T-604490,A-f9cc74,2024-09-13,2024-09-15 10:00:00,58.0,low,115,4.0,False
T-55edb1,A-b9eed8,2023-01-05,2023-01-06 06:00:00,30.0,medium,87,5.0,False
T-466dab,A-d82ef9,2023-03-26,2023-03-28 16:00:00,64.0,urgent,38,5.0,False
T-dd5960,A-f19b24,2024-01-22,2024-01-22 13:00:00,13.0,urgent,73,,True
T-ef33cf,A-1e1b80,2024-01-26,2024-01-27 00:00:00,24.0,medium,16,,False
T-d8aafb,A-fa3095,2024-10-05,2024-10-07 06:00:00,54.0,low,91,,False
T-a14a68,A-86fc1d,2023-08-15,2023-08-17 16:00:00,64.0,high,38,3.0,False
T-0e6900,A-d42431,2023-02-28,2023-03-01 06:00:00,30.0,medium,20,,False
T-5e66ab,A-c37601,2023-01-26,2023-01-26 19:00:00,19.0,urgent,180,4.0,False
T-a5e537,A-186a44,2023-04-22,2023-04-24 14:00:00,62.0,high,176,3.0,False
T-7e77dc,A-7cfe77,2023-12-23,2023-12-23 19:00:00,19.0,medium,42,,False
T-e2d68e,A-8ae3fc,2023-04-27,2023-04-29 21:00:00,69.0,high,14,,False
T-f6909c,A-5a92e7,2023-05-18,2023-05-19 23:00:00,47.0,medium,9,5.0,False
T-154975,A-313be3,2023-07-16,2023-07-17 13:00:00,37.0,urgent,70,,False
T-2b6bb1,A-993085,2024-02-20,2024-02-22 20:00:00,68.0,high,33,4.0,False
T-95452e,A-aa9511,2023-08-09,2023-08-11 09:00:00,57.0,urgent,61,,False
T-da0863,A-1e6fc3,2023-12-30,2023-12-30 22:00:00,22.0,high,2,5.0,False
T-65d099,A-e60f9d,2024-02-09,2024-02-11 22:00:00,70.0,urgent,81,,False
T-5ceddb,A-4d1e75,2024-07-10,2024-07-10 03:00:00,3.0,medium,173,4.0,False
T-4579d9,A-76fa4d,2023-06-23,2023-06-24 05:00:00,29.0,medium,57,5.0,False
T-4669d1,A-4ae22a,2024-03-08,2024-03-09 06:00:00,30.0,low,101,3.0,False
T-1acc04,A-8145a0,2023-08-08,2023-08-08 19:00:00,19.0,high,85,,False
T-284720,A-cc102e,2024-04-11,2024-04-11 01:00:00,1.0,low,93,3.0,False
T-20d740,A-8145a0,2024-02-02,2024-02-03 14:00:00,38.0,medium,119,,False
T-df87ef,A-67be94,2023-03-03,2023-03-05 20:00:00,68.0,high,7,5.0,False
T-9def1e,A-ffc04f,2023-02-23,2023-02-23 04:00:00,4.0,high,18,4.0,False
T-0bc38a,A-c70870,2023-07-08,2023-07-08 19:00:00,19.0,low,159,5.0,False
T-0de7f1,A-e7beab,2024-09-22,2024-09-23 01:00:00,25.0,low,172,,False
T-d4805c,A-1b9609,2023-06-22,2023-06-22 16:00:00,16.0,low,42,,False
T-b35070,A-39b19f,2023-04-01,2023-04-03 19:00:00,67.0,high,133,,False
T-73d14f,A-726cfa,2023-08-22,2023-08-24 13:00:00,61.0,low,142,4.0,False
T-035748,A-e98302,2023-09-25,2023-09-27 08:00:00,56.0,urgent,133,4.0,False
T-b918db,A-f25509,2024-05-08,2024-05-08 21:00:00,21.0,low,162,5.0,False
T-3cdeb2,A-600734,2024-09-09,2024-09-11 17:00:00,65.0,medium,88,,False
T-7309d6,A-ccabf0,2024-04-18,2024-04-19 19:00:00,43.0,medium,43,,False
T-2795e4,A-09316c,2024-12-20,2024-12-22 21:00:00,69.0,low,81,3.0,False
T-a32dd4,A-6a7c9d,2024-04-27,2024-04-28 03:00:00,27.0,high,13,,False
T-e41843,A-c9bb3e,2023-07-22,2023-07-23 06:00:00,30.0,high,119,4.0,False
T-81a9e7,A-712f1c,2024-02-27,2024-02-28 19:00:00,43.0,medium,108,4.0,False
T-38714f,A-fe79a5,2024-12-25,2024-12-25 07:00:00,7.0,high,63,,False
T-322072,A-8e47ca,2023-02-17,2023-02-18 11:00:00,35.0,high,130,,False
T-99b0b8,A-a0ca4e,2023-10-17,2023-10-19 11:00:00,59.0,low,148,3.0,False
